オクターブ,音階,周波数
0,A0,27.5
0,A#0,29.135
0,B0,30.868
1,C1,32.703
1,C#1,34.648
1,D1,36.708
1,D#1,38.891
1,E1,41.203
1,F1,43.654
1,F#1,46.249
1,G1,48.999
1,G#1,51.913
1,A1,55
1,A#1,58.27
1,B1,61.735
2,C2,65.406
2,C#2,69.296
2,D2,73.416
2,D#2,77.782
2,E2,82.407
2,F2,87.307
2,F#2,92.499
2,G2,97.999
2,G#2,103.826
2,A2,110
2,A#2,116.541
2,B2,123.471
3,C3,130.813
3,C#3,138.591
3,D3,146.832
3,D#3,155.563
3,E3,164.814
3,F3,174.614
3,F#3,184.997
3,G3,195.998
3,G#3,207.652
3,A3,220
3,A#3,233.082
3,B3,246.942
4,C4,261.626
4,C#4,277.183
4,D4,293.665
4,D#4,311.127
4,E4,329.628
4,F4,349.228
4,F#4,369.994
4,G4,391.995
4,G#4,415.305
4,A4,440
4,A#4,466.164
4,B4,493.883
5,C5,523.251
5,C#5,554.365
5,D5,587.33
5,D#5,622.254
5,E5,659.255
5,F5,698.456
5,F#5,739.989
5,G5,783.991
5,G#5,830.609
5,A5,880
5,A#5,932.328
5,B5,987.767
6,C6,1046.502
6,C#6,1108.731
6,D6,1174.659
6,D#6,1244.508
6,E6,1318.51
6,F6,1396.913
6,F#6,1479.978
6,G6,1567.982
6,G#6,1661.219
6,A6,1760
6,A#6,1864.655
6,B6,1975.533
7,C7,2093.005
7,C#7,2217.461
7,D7,2349.318
7,D#7,2489.016
7,E7,2637.02
7,F7,2793.826
7,F#7,2959.955
7,G7,3135.963
7,G#7,3322.438
7,A7,3520
7,A#7,3729.31
7,B7,3951.066
8,C8,4186.009
